Revenu annuel,Salaire mensuel,Salaire des quatre dernières semaines,Salaire d’une semaine,Salaire ou revenu journalier moyen,Allocation
78840,6570,6132,1533,219,175.20
79200,6600,6160,1540,220,176.00
79560,6630,6188,1547,221,176.80
79920,6660,6216,1554,222,177.60
80280,6690,6244,1561,223,178.40
80640,6720,6272,1568,224,179.20
81000,6750,6300,1575,225,180.00
81360,6780,6328,1582,226,180.80
81720,6810,6356,1589,227,181.60
82080,6840,6384,1596,228,182.40
82440,6870,6412,1603,229,183.20
82800,6900,6440,1610,230,184.00
83160,6930,6468,1617,231,184.80
83520,6960,6496,1624,232,185.60
83880,6990,6524,1631,233,186.40
84240,7020,6552,1638,234,187.20
84600,7050,6580,1645,235,188.00
84960,7080,6608,1652,236,188.80
85320,7110,6636,1659,237,189.60
85680,7140,6664,1666,238,190.40
86040,7170,6692,1673,239,191.20
86400,7200,6720,1680,240,192.00
86760,7230,6748,1687,241,192.80
87120,7260,6776,1694,242,193.60
87480,7290,6804,1701,243,194.40
87840,7320,6832,1708,244,195.20
88200,7350,6860,1715,245,196.00
